lang,verb
ara,0.10144433882847732
ces,0.1235491783115323
deu,0.09082890554081864
eng,0.1279875009184814
fas,0.05965139626762435
fra,0.11180072610683044
hin,0.09271878869598332
jpn,0.10603420128372656
kor,0.06694743303086201
nld,0.14848682740058594
rus,0.12902197663192194
pol,0.10840480515510643
spa,0.10471914150492044
tam,0.14176361226096645
tur,0.2566114578538937
zho,0.1130589350288795
