lang,pron
ara,0.004389725907883198
ces,0.044859580952017024
deu,0.06410827157583361
eng,0.06730157256905367
fas,0.02105191191011252
fra,0.04070112342796823
hin,0.04882260955975201
jpn,0.0049742512038449295
kor,0.006483980586545056
nld,0.03631805391177522
rus,0.04241824037745273
pol,0.04214362761804709
spa,0.055007317859636654
tam,0.0284316589134094
tur,0.031068817090429038
zho,0.018713187233432543
